Building Name,ADDRESS
STATE FARM CENTER,1800 S. FIRST CHAMPAIGN
COLONEL WOLFE SCHOOL,403 E. HEALY CHAMPAIGN
"1005 W NEVADA, URBANA",1005 W. NEVADA URBANA
BURNSIDES RESEARCH LABORATORY,1208 W. PENNSYLVANIA URBANA
CENTRAL RECEIVING BUILDING,1609 S. OAK CHAMPAIGN
MEAT SCIENCE LABORATORY,1503 S. MARYLAND URBANA
FOREIGN LANGUAGES BUILDING,707 S. MATHEWS URBANA
AFRICAN AMERICAN CULTURE CENTER,708 S. MATHEWS URBANA
ENGINEERING SCIENCES BUILDING,1101 W. SPRINGFIELD URBANA
1009 W. NEVADA,1009  W. NEVADA URBANA
REHABILITATION EDUCATION CENTER,1207 S. OAK CHAMPAIGN
1204 W. OREGON,1204  W. OREGON URBANA
"MAILING CENTER-1611 S OAK, CHAMPAIGN",1611 S. OAK CHAMPAIGN
"ILLINI GROVE, SEWARD STALEY",905 W. PENNSYLVANIA URBANA
STU-STAFF AIR CONDITIONING CENTER,1109 W. GREEN URBANA
DANIELS HALL,1010 W. GREEN URBANA
NUCLEAR REACTOR LABORATORY,102 S. GOODWIN URBANA
WOOD ENGINEERING LABORATORY,1305 S. GOODWIN URBANA
1208 WEST NEVADA,1208 W. NEVADA URBANA
H P GAS REGULATING & REDUCING STA,1207 W. WESTERN URBANA
1116 W. ILLINOIS,1116  W. ILLINOIS URBANA
ENTOMOLOGY LABORATORY,1902 S. GRIFFITH DR. CHAMPAIGN
FRED TURNER STUDENT SERVICES BLDG,610 E. JOHN CHAMPAIGN
MEDICAL SCIENCES BUILDING,506 S. MATHEWS URBANA
SWANLUND ADMINISTRATION BUILDING,601 E. JOHN CHAMPAIGN
USDA NEMATOLOGY GREENHOUSE,1105 W. DONNER URBANA
"1203 W NEVADA, URBANA",1203 W. NEVADA URBANA
OPTICAL PHYSICS AND ENGINEERING BLDG,607 E. HEALY CHAMPAIGN
TURNER HALL,1102 S. GOODWIN URBANA
PHYSICAL PLANT SERVICE BUILDING,1501 S. OAK CHAMPAIGN
"1001 W NEVADA, URBANA",1001 W. NEVADA URBANA
1007 W. NEVADA,1007  W. NEVADA URBANA
GARAGE AND CAR POOL,1701 S. OAK ST. CHAMPAIGN
HORTICULTURE FIELD LAB STEEL BLDG,1801 S. ORCHARD URBANA
605 S. GOODWIN,605  S. GOODWIN URBANA
