Building No.,Building Name,Address,City,ZIP
808,FEED & VITAMIN MIXING BARN,S. FIRST,CHAMPAIGN,
809,ANIMAL HUSBANDRY SHEEP MET BLDG,E. ST. MARY'S RD.,CHAMPAIGN,61820
810,INDIVIDUAL FEEDING BARN,E. ST. MARY'S RD.,CHAMPAIGN,61820
811,ANIMAL HUSBANDRY SHEEP BARNS,201 E. ST. MARY'S RD.,CHAMPAIGN,61820
812,FEED MIXING AND SHEEP BARN,E. ST. MARY'S RD.,CHAMPAIGN,61820
813,PIG NURSERY - SOUTH,S. FIRST,CHAMPAIGN,
814,SWINE BARN,S. FIRST,CHAMPAIGN,
815,FEED STORAGE PLANT,E. ST. MARY'S RD.,CHAMPAIGN,61820
816,CONCRETE BLOCK FEED STORAGE,E. ST. MARY'S RD.,CHAMPAIGN,61820
817,SWINE RESEARCH CENTER STORAGE,S. FIRST ST.,CHAMPAIGN,61820
818,HOG AND CATTLE WEIGHING SHED,E. ST. MARY'S RD.,CHAMPAIGN,61820
819,CALF BARN,E. ST. MARY'S RD.,CHAMPAIGN,61820
820,ANIMAL HUSBANDRY CATTLE FEEDING PLT,E. ST. MARY'S RD.,CHAMPAIGN,61820
821,SCALE HOUSE,E. ST. MARY'S RD.,CHAMPAIGN,61820
822,GARAGE,E. ST. MARY'S RD.,CHAMPAIGN,61820
823,FEED MIXING SHED,E. ST. MARY'S RD.,CHAMPAIGN,61820
824,AGRONOMY SOUTH FARMS LAB,2102 S. WRIGHT,URBANA,61801
825,NURSERY BUILDING-SWINE RES CTR,3502 S. FIRST ST.,CHAMPAIGN,61820
826,CONFINEMENT BEEF UNIT,E. ST. MARY'S RD.,CHAMPAIGN,61820
827,SWINE FINISH. FAC.-SWINE RES,3502  S. FIRST,CHAMPAIGN,NULL
828,ANIMAL SCI SHOP & STOR-HORSE FARM,1810 S. FOURTH ST.,CHAMPAIGN,61820
829,POLE FRAME HORSE BARN,E. ST. MARY'S RD.,CHAMPAIGN,61820
830,SHEEP SHELTER,E. ST. MARY'S RD.,CHAMPAIGN,61820
831,ANIMAL SCIENCE K40 FACILITY,501 E. ST. MARY'S RD.,CHAMPAIGN,61820
832,ANIMAL SCI RUMINANT METABOLISM UNIT,E. ST. MARY'S RD.,CHAMPAIGN,61820
833,ANIMAL SCI FARM EQUIPMENT STOR UNIT,601 E. ST. MARY'S RD.,CHAMPAIGN,61820
834,ANIMAL SCI ISOLATION UNIT,E. ST. MARY'S RD.,CHAMPAIGN,61820
835,SWINE PROGENY TEST FACILITY,1811 S. FIRST ST.,CHAMPAIGN,61820
836,EQUINE RESEARCH BARN,517 E. ST. MARY'S RD.,CHAMPAIGN,61820
837,PESTICIDE STORAGE,W. HAZELWOOD DR.,URBANA,61801
838,MACHINERY STORAGE BLDG-AGRON FARM,W. HAZELWOOD DR.,URBANA,61801
839,MACHINERY & EQUIP STOR SHED - AGRON,W. HAZELWOOD DR.,URBANA,61801
840,AGRONOMY DEPARTMENT BARN,W. HAZELWOOD DR.,URBANA,61801
841,IMPLEMENT SHED WEST OF SEEDHOUSE,W. HAZELWOOD DR.,URBANA,61801
842,AGRONOMY SEED HOUSE,2102 S. WRIGHT ST.,CHAMPAIGN,61820
844,AGRONOMY DRYING SHED,W. HAZELWOOD DR.,URBANA,61801
845,SHEET METAL BARN,W. HAZELWOOD DR.,URBANA,61801
846,SHEET METAL BARN - USDA,W. HAZELWOOD DR.,URBANA,61801
847,SHEET METAL BARN - SSSS - AGRONOMY,W. HAZELWOOD DR.,URBANA,61801
